type,id,target,valueKind,membership,categoryOrRole,allowedGearTypes
affix,add_con_flat,CON,Flat,Core,Attribute,*
affix,add_dex_flat,DEX,Flat,Core,Attribute,*
affix,add_int_flat,INT,Flat,Core,Attribute,*
affix,add_str_flat,STR,Flat,Core,Attribute,*
affix,add_wil_flat,WIL,Flat,Core,Attribute,*
affix,gain_elem_dmg_from_armor,ElementDamage,Percent,Synergy,Damage,*
affix,incre_all_resis_percent,ElementResist,Percent,Defensive,Defense,*
implicit,add_armor_flat,Armor,Flat,Melee,Defense,Chest|Head|Legs|Amulet
implicit,add_dodge_flat,Armor,Flat,Ranged,Defense,Chest|Head|Legs|Amulet
implicit,incr_armor_percent,Armor,Percent,Melee,Defense,Chest|Head|Legs
implicit,add_barrier_flat,Barrier,Flat,Caster,Defense,Chest|Head|Legs|Amulet
implicit,incre_barrier_percent,Barrier,Percent,Caster,Defense,Chest|Head|Legs
implicit,incr_dodge_percent,DodgeChance,Percent,Ranged,Defense,Chest|Head|Legs
implicit,add_elem_resis_flat,ElementResist,Flat,Neutral,Defense,Chest|Head|Legs|Amulet
implicit,incr_elem_resis_percent,ElementResist,Percent,Neutral,Defense,Chest|Head|Legs|Amulet
implicit,add_thorns_flat,Thorns,Flat,Melee,Defense,Chest|Legs|Head
implicit,incr_damage_percent,Damage,Percent,Melee|Ranged|Caster,Offense,Chest|Gloves|Legs|Amulet
implicit,add_elem_dmg_flat,ElementDamage,Flat,Ranged|Caster,Offense,Chest|Gloves|Legs|Amulet
implicit,add_life_flat,MaxLife,Flat,Neutral,Offense,Chest|Gloves|Legs|Amulet|Head
implicit,incr_life_percent,MaxLife,Percent,Neutral,Offense,Chest|Gloves|Legs|Amulet|Head
implicit,add_phys_dmg_flat,PhysDamage,Flat,Melee|Ranged,Offense,Chest|Gloves|Legs|Amulet
implicit,incr_gold_found_percent,ItemRarity,Percent,Neutral,Utility,Chest|Gloves|Legs|Amulet|Head|Boots
implicit,incr_rarity_found_percent,ItemRarity,Percent,Neutral,Utility,Chest|Gloves|Legs|Amulet|Head|Boots
