itemType,itemId,rarity
Gear,gear:basic_helmet,Common
Gear,gear:chitin_chest,Common
Module,module:barrier_crystal,Common
Module,module:piercing_fang,Common
Part,part:antenna,Common
Part,part:bone_fragment,Common
Part,part:chitin,Common
Part,part:claw,Common
Part,part:horn_skin,Common
Part,part:limb,Common
Part,part:scale,Common
Part,part:secretions,Common
Part,part:tooth,Common
Part,part:charred_scale,Epic
Part,part:cursed_essence,Epic
Part,part:essence_shard,Epic
Part,part:hard_core,Epic
Part,part:soul_fragment,Epic
Part,part:antlers,Rare
Part,part:arcane_fragment,Rare
Part,part:armor_plate,Rare
Part,part:bone_ash,Rare
Part,part:capsule,Rare
Part,part:feather,Rare
Part,part:fire_gland,Rare
Part,part:frost_crystal,Rare
Part,part:gland,Rare
Part,part:hardened_scale,Rare
Part,part:hide_plate,Rare
Part,part:ice_gland,Rare
Part,part:shadow_skin,Rare
Part,part:skull_shard,Rare
Part,part:slime,Rare
Part,part:stinger,Rare
Part,part:venom_gland,Rare
Part,part:venom_sac,Rare
Part,part:wing,Rare
Part,part:bone,Uncommon
Part,part:eye,Uncommon
Part,part:fur,Uncommon
Part,part:horn,Uncommon
Part,part:leather,Uncommon
Part,part:tongue,Uncommon
Remains,remains:ashes,Common
Remains,remains:glitter_dust,Common
Remains,remains:charged_crystal,Epic
Remains,remains:etheral_thread,Epic
Remains,remains:void_essence,Epic
Remains,remains:moon_shard,Legendary
Remains,remains:obsidian_fragment,Legendary
Remains,remains:obsidian_splinter,Legendary
Remains,remains:stardust,Legendary
Remains,remains:star_dust,Legendary
Remains,remains:ichor,Mythic
Remains,remains:ember_remnant,Rare
Remains,remains:frost_core,Rare
Remains,remains:soul_dust,Rare
Remains,remains:blood,Uncommon
Remains,remains:bone_powder,Uncommon
Remains,remains:tears,Uncommon
Rune,rune:FUROR,Epic
Rune,rune:GELIDUS,Epic
Rune,rune:IGNIS,Epic
Rune,rune:SANGUIS,Epic
Rune,rune:TRAJECTIO,Epic
Rune,rune:VENENUM,Epic
Rune,rune:ECSECUTIO,Legendary
Rune,rune:FLUXUS,Legendary
Rune,rune:IMMORTALIS,Legendary
Rune,rune:TEMERARIUS,Legendary
Rune,rune:AURAM,Mythic
Rune,rune:ULTIO,Mythic
Rune,rune:EXTENDERE,Rare
Rune,rune:MARTYRIS,Rare
Rune,rune:SANCTUS,Rare
Rune,rune:SPECULUM,Rare
Rune,rune:GALCIES,Uncommon
Rune,rune:MAGMA,Uncommon
Rune,rune:MEDELA,Uncommon
Rune,rune:VIPERA,Uncommon
